time,src,dst,proto,length,sport,dport
1772170772.319501,172.27.128.1,224.0.0.251,17,81,5353,5353
1772170772.321813,172.27.128.1,224.0.0.251,17,119,5353,5353
1772170772.785991,172.27.128.1,224.0.0.251,17,81,5353,5353
1772170772.788517,172.27.128.1,224.0.0.251,17,119,5353,5353
1772170812.312367,172.27.128.1,224.0.0.251,17,81,5353,5353
1772170812.314325,172.27.128.1,224.0.0.251,17,119,5353,5353
1772170812.828399,172.27.128.1,224.0.0.251,17,81,5353,5353
1772170812.830518,172.27.128.1,224.0.0.251,17,119,5353,5353
1772170852.814759,172.27.128.1,224.0.0.251,17,81,5353,5353
1772170852.817065,172.27.128.1,224.0.0.251,17,119,5353,5353
1772170852.869371,172.27.128.1,224.0.0.251,17,81,5353,5353
1772170852.871442,172.27.128.1,224.0.0.251,17,119,5353,5353
1772170892.817971,172.27.128.1,224.0.0.251,17,81,5353,5353
1772170892.819815,172.27.128.1,224.0.0.251,17,119,5353,5353
1772170892.909409,172.27.128.1,224.0.0.251,17,81,5353,5353
1772170892.911574,172.27.128.1,224.0.0.251,17,119,5353,5353
1772170932.807468,172.27.128.1,224.0.0.251,17,81,5353,5353
1772170932.809963,172.27.128.1,224.0.0.251,17,119,5353,5353
1772170932.951731,172.27.128.1,224.0.0.251,17,81,5353,5353
1772170932.953493,172.27.128.1,224.0.0.251,17,119,5353,5353
